STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN,TOBS
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/7/2013,,,,0.3,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/9/2013,,2,0.16,,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/11/2013,,2,0.84,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/12/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/19/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/20/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/21/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/22/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/23/2013,,2,1.62,,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/24/2013,,,,0.61,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/30/2013,,,,0.84,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,12/31/2013,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/2/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/3/2014,,,,0.47,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/14/2014,,,,0.16,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/15/2014,,,,0.21,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/16/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/17/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/18/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/19/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/20/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/21/2014,,,,0.01,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/22/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/23/2014,,,,0,,,,
US1VAPT0010,"CHATHAM 5.9 SW, VA US",36.751176,-79.463467,247.8,1/24/2014,,,,0,,,,
